old_url,old_path,new_path,redirect_type,page_type,alias_type,title,notes
https://ikpk.su/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,200,seminar,canonical,Тендинопатия: здоровье рук массажиста и не только: запись на,
https://ikpk.su/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko/,/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko/,/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,301,seminar,trailing_slash,Тендинопатия: здоровье рук массажиста и не только: запись на,
http://ikpk.su/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,301,seminar,http_to_https,Тендинопатия: здоровье рук массажиста и не только: запись на,
https://www.ikpk.su/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,/institut-klinicheskoy-prikladnoy-kineziologii/vebinary-i-mezhseminarskie-vstrechi-ikpk/tendinopatiya-zdorove-ruk-massazhista-i-ne-tolko,301,seminar,www_redirect,Тендинопатия: здоровье рук массажиста и не только: запись на,
https://ikpk.su/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,200,seminar,canonical,VVML: Висцеро-сосудистые техники. Нижняя часть тела.: запись,
https://ikpk.su/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela/,/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela/,/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,301,seminar,trailing_slash,VVML: Висцеро-сосудистые техники. Нижняя часть тела.: запись,
http://ikpk.su/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,301,seminar,http_to_https,VVML: Висцеро-сосудистые техники. Нижняя часть тела.: запись,
https://www.ikpk.su/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,/institut-barralya/prodvinutye-visceralnye-tehniki/viscero-sosudistye-tehniki-nizhnyaya-chast-tela,301,seminar,www_redirect,VVML: Висцеро-сосудистые техники. Нижняя часть тела.: запись,
https://ikpk.su/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,200,seminar,canonical,CSP-2: Краниосакральная терапия в педиатрии. Уровень 2: запи,
https://ikpk.su/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2/,/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2/,/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,301,seminar,trailing_slash,CSP-2: Краниосакральная терапия в педиатрии. Уровень 2: запи,
http://ikpk.su/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,301,seminar,http_to_https,CSP-2: Краниосакральная терапия в педиатрии. Уровень 2: запи,
https://www.ikpk.su/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,/institut-apledzhera/pediatriya-akusherstvo-i-novorozhdennye/csp-2-kraniosakralnaya-terapiya-v-pediatrii-2,301,seminar,www_redirect,CSP-2: Краниосакральная терапия в педиатрии. Уровень 2: запи,
https://ikpk.su/institut-barralya/visceralnye-tehniki/taz,/institut-barralya/visceralnye-tehniki/taz,/institut-barralya/visceralnye-tehniki/taz,200,seminar,canonical,VM-3: Таз. Уровень 3: запись на обучение онлайн,
https://ikpk.su/institut-barralya/visceralnye-tehniki/taz/,/institut-barralya/visceralnye-tehniki/taz/,/institut-barralya/visceralnye-tehniki/taz,301,seminar,trailing_slash,VM-3: Таз. Уровень 3: запись на обучение онлайн,
http://ikpk.su/institut-barralya/visceralnye-tehniki/taz,/institut-barralya/visceralnye-tehniki/taz,/institut-barralya/visceralnye-tehniki/taz,301,seminar,http_to_https,VM-3: Таз. Уровень 3: запись на обучение онлайн,
https://www.ikpk.su/institut-barralya/visceralnye-tehniki/taz,/institut-barralya/visceralnye-tehniki/taz,/institut-barralya/visceralnye-tehniki/taz,301,seminar,www_redirect,VM-3: Таз. Уровень 3: запись на обучение онлайн,
https://ikpk.su/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,200,seminar,canonical,VM-1: Брюшная полость. Уровень 1: запись на обучение онлайн,
https://ikpk.su/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1/,/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1/,/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,301,seminar,trailing_slash,VM-1: Брюшная полость. Уровень 1: запись на обучение онлайн,
http://ikpk.su/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,301,seminar,http_to_https,VM-1: Брюшная полость. Уровень 1: запись на обучение онлайн,
https://www.ikpk.su/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,/institut-barralya/visceralnye-tehniki/bryushnaya-polost-1,301,seminar,www_redirect,VM-1: Брюшная полость. Уровень 1: запись на обучение онлайн,
https://ikpk.su/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,200,seminar,canonical,Выявление и коррекция структурных нарушений тазового региона,
https://ikpk.su/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej/,/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej/,/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,301,seminar,trailing_slash,Выявление и коррекция структурных нарушений тазового региона,
http://ikpk.su/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,301,seminar,http_to_https,Выявление и коррекция структурных нарушений тазового региона,
https://www.ikpk.su/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,/institut-klinicheskoy-prikladnoy-kineziologii/korrekciya-strukturnyh-narushenij-osteoprakticheskimi-i-myshechno-energeticheskimi-tehnikami/korrekciya-strukturnyh-narushenij-tazovogo-regiona-i-nizhnih-konechnostej,301,seminar,www_redirect,Выявление и коррекция структурных нарушений тазового региона,
